state,region
Alabama,South
Alaska,West
Arizona,Southwest
Arkansas,South
California,West
Colorado,West
Connecticut,New England
Delaware,Mid – Atlantic
District of Columbia,Mid – Atlantic
Florida,South
Georgia,South
Hawaii,West
Idaho,West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Kentucky,South
Louisiana,South
Maine,New England
Maryland,Mid – Atlantic
Massachusetts,New England
Michigan,Midwest
Minnesota,Midwest
Mississippi,South
Missouri,Midwest
Montana,West
Nebraska,Midwest
Nevada,West
New Hampshire,New England
New Jersey,Mid – Atlantic
New Mexico,Southwest
New York,Mid – Atlantic
North Carolina,South
North Dakota,Midwest
Ohio,Midwest
Oklahoma,Southwest
Oregon,West
Pennsylvania,Mid – Atlantic
Rhode Island,New England
South Carolina,South
South Dakota,Midwest
Tennessee,South
Texas,Southwest
Utah,West
Vermont,New England
Virginia,South
Washington,West
West Virginia,South
Wisconsin,Midwest
Wyoming,West
