code,state,gdp_million
01000,Alabama,191481.0
02000,Alaska,56622.8
04000,Arizona,275199.1
05000,Arkansas,114251.5
06000,California,2262771.2
08000,Colorado,288305.2
09000,Connecticut,246632.0
10000,Delaware,60666.1
11000,District of Columbia,114891.0
12000,Florida,800704.1
13000,Georgia,460585.1
15000,Hawaii,75788.3
16000,Idaho,61017.7
17000,Illinois,739627.9
18000,Indiana,308681.7
19000,Iowa,160299.8
20000,Kansas,143220.7
21000,Kentucky,182359.2
22000,Louisiana,228967.4
23000,Maine,53719.0
24000,Maryland,341255.3
25000,Massachusetts,454345.7
26000,Michigan,432717.6
27000,Minnesota,306153.0
28000,Mississippi,101638.1
29000,Missouri,277851.1
30000,Montana,43141.0
31000,Nebraska,107604.3
32000,Nevada,130621.4
33000,New Hampshire,70181.9
34000,New Jersey,533686.7
35000,New Mexico,88411.2
36000,New York,1355581.4
37000,North Carolina,455521.6
38000,North Dakota,53881.7
39000,Ohio,561045.5
40000,Oklahoma,182618.4
41000,Oregon,179382.7
42000,Pennsylvania,663900.8
44000,Rhode Island,53209.9
45000,South Carolina,183014.9
46000,South Dakota,44814.9
47000,Tennessee,292803.9
48000,Texas,1502249.8
49000,Utah,134252.1
50000,Vermont,29098.8
51000,Virginia,455070.0
53000,Washington,419345.0
54000,West Virginia,71037.6
55000,Wisconsin,282384.6
56000,Wyoming,38922.5
