Company,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,Sector,Industry
Reliance Industries Ltd,"19,76,358","2,921","2,969","2,000",28.3,"1,110",0.31,9.14,8.94,10.0,Refineries,Refineries
Tata Consultancy Services Ltd,"15,10,566","4,128","4,185","3,070",33.1,275,1.16,58.7,46.9,1.00,IT - Software,Computers - Software - Large
HDFC Bank Ltd,"10,78,493","1,420","1,758","1,363",15.9,519,1.34,6.24,17.1,1.00,Banks,Banks - Private Sector
ICICI Bank Ltd,"7,18,061","1,023","1,067",810,16.9,307,0.78,6.32,17.2,2.00,Banks,Banks - Private Sector
Infosys Ltd,"7,06,261","1,702","1,733","1,185",29.0,193,2.00,40.5,31.8,5.00,IT - Software,Computers - Software - Large
State Bank of India,"6,73,540",755,775,502,9.79,402,1.50,5.20,16.8,1.00,Banks,Banks - Public Sector
Bharti Airtel Ltd,"6,58,247","1,120","1,201",736,57.7,138,0.36,12.3,12.0,5.00,Telecomm-Service,Telecommunications - Service Provider
Hindustan Unilever Ltd,"5,58,087","2,375","2,770","2,347",54.1,214,1.64,26.6,20.5,1.00,FMCG,Personal Care - Multinational
ITC Ltd,"5,04,905",405,500,370,24.7,55.4,3.15,39.0,29.1,1.00,Tobacco Products,Cigarettes
Larsen & Toubro Ltd,"4,65,553","3,387","3,739","2,082",36.8,570,0.71,11.6,11.7,2.00,Infrastructure Developers & Operators,Engineering - Turnkey Services
HCL Technologies Ltd,"4,52,490","1,667","1,696","1,016",28.8,242,3.12,28.3,23.0,2.00,IT - Software,Computers - Software - Large
Bajaj Finance Ltd,"4,09,082","6,619","8,192","5,486",29.7,969,0.45,11.8,23.5,2.00,Finance,Finance & Investments
Adani Enterprises Ltd,"3,67,491","3,224","3,278","1,103",97.9,322,0.04,9.49,9.63,1.00,Trading,Trading
Sun Pharmaceuticals Industries Ltd,"3,62,288","1,510","1,555",922,38.7,233,0.76,16.4,16.6,1.00,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln
Maruti Suzuki India Ltd,"3,57,803","11,380","11,480","8,127",29.4,"2,093",0.79,14.5,11.5,5.00,Automobile,Automobiles - Passenger Cars
Oil & Natural Gas Corpn Ltd,"3,45,580",275,280,146,7.53,246,4.10,13.9,14.1,5.00,Crude Oil & Natural Gas,Oil Drilling / Allied Services
Kotak Mahindra Bank Ltd,"3,44,907","1,735","2,064","1,644",19.8,563,0.09,6.86,14.3,5.00,Banks,Banks - Private Sector
Tata Motors Ltd,"3,43,481",939,950,400,17.0,161,0.21,5.95,5.62,2.00,Automobile,Automobiles - LCVs / HCVs
Axis Bank Ltd,"3,29,696","1,069","1,152",814,13.9,422,0.09,5.12,8.73,2.00,Banks,Banks - Private Sector
NTPC Ltd,"3,27,505",338,343,167,16.8,158,2.15,9.83,12.0,10.0,Power Generation & Distribution,Power Generation And Supply
Titan Company Ltd,"3,24,521","3,655","3,887","2,320",94.0,140,0.27,25.1,30.8,1.00,"Diamond, Gems and Jewellery",Diamond Cutting / Jewellery
Adani Green Energy Ltd,"3,01,719","1,905","1,992",439,183,50.1,0.00,7.81,22.8,10.0,Power Generation & Distribution,Power Generation And Supply
Coal India Ltd,"2,95,811",480,488,208,10.1,113,5.05,70.5,56.0,10.0,Mining & Mineral products,Mining / Minerals / Metals
