Company,Sector,Price,Changes,52-wk low,52-wk high,Volume
HDFC Bank Ltd., Bank - Private ,1444.30,-10.35 (-0.71%),1380.25,1757.50,20864384
Reliance Industries Ltd., Oil Exploration and Production ,2815.25,-80.85 (-2.79%),2180.00,2919.95,7046989
Tata Consultancy Services Ltd., IT Services & Consulting ,3800.55,-0.45 (-0.01%),3070.25,3965.00,1411621
ICICI Bank Ltd., Bank - Private ,1016.90,0.50 (0.05%),796.00,1059.40,16085742
Infosys Ltd., IT Services & Consulting ,1651.45,-5.15 (-0.31%),1185.30,1690.00,4995943
Bharti Airtel Ltd., Telecommunication - Service Provider ,1158.65,-3.50 (-0.30%),735.80,1200.65,3902023
Hindustan Unilever Ltd., Household & Personal Products ,2458.65,14.25 (0.58%),2365.45,2769.65,1793711
ITC Ltd., Diversified ,438.05,-11.75 (-2.61%),329.10,499.70,43514448
State Bank of India, Bank - Public ,626.75,3.80 (0.61%),499.35,660.40,16966577
Housing Development Finance Corporation Ltd., Finance - Housing ,,,2026.55,3021.10,
Larsen & Toubro Ltd., Engineering & Construction ,3633.30,-74.70 (-2.01%),2072.65,3737.90,1454989
Bajaj Finance Ltd., Finance - NBFC ,6817.20,-374.45 (-5.21%),5485.70,8192.00,4153147
HCL Technologies Ltd., IT Services & Consulting ,1559.30,-15.25 (-0.97%),1016.25,1619.60,1939386
Kotak Mahindra Bank Ltd., Bank - Private ,1823.60,0.70 (0.04%),1643.50,2064.40,3829187
Titan Company Ltd., Diamond  &  Jewellery ,3735.75,-130.90 (-3.39%),2269.60,3886.95,852445
Adani Enterprises Ltd., Trading ,3091.10,26.45 (0.86%),1017.45,3199.00,3115506
Sun Pharmaceutical Industries Ltd., Pharmaceuticals & Drugs ,1371.75,-29.10 (-2.08%),922.45,1420.85,1935332
Axis Bank Ltd., Bank - Private ,1054.10,-7.15 (-0.67%),814.30,1151.85,9426983
Maruti Suzuki India Ltd., Automobile - Passenger Cars ,9951.65,-39.75 (-0.40%),8130.00,10932.85,399869
NTPC Ltd., Power Generation/Distribution ,315.45,-9.10 (-2.80%),162.55,325.75,20918448
Tata Motors Ltd., Automobile - LCVS/ HVCS ,858.85,17.85 (2.12%),400.45,885.95,19734613
Oil and Natural Gas Corporation Ltd., Oil Exploration and Production ,249.20,-3.30 (-1.31%),140.10,263.30,51491099
UltraTech Cement Ltd., Cement ,9963.60,-310.45 (-3.02%),6642.55,10526.00,368827
Asian Paints Ltd., Paints ,2954.10,-21.95 (-0.74%),2694.00,3568.00,1273188
Adani Green Energy Ltd., Renewables ,1679.45,-36.05 (-2.10%),439.10,1762.05,992518
Bajaj Finserv Ltd., Finance - Investment ,1590.55,-46.40 (-2.83%),1215.00,1741.00,4851835
Adani Ports and Special Economic Zone Ltd., Transport Infrastructure ,1187.35,-9.30 (-0.78%),395.10,1229.90,4683729
Wipro Ltd., IT Services & Consulting ,472.50,-0.50 (-0.11%),352.00,529.00,5914007
Avenue Supermarts Ltd., Retailing ,3687.30,-62.10 (-1.66%),3292.00,4206.00,263265
Coal India Ltd., Coal ,402.55,-10.25 (-2.48%),207.60,415.80,14159072
Nestle India Ltd., Consumer Food ,2492.05,-6.50 (-0.26%),1788.00,2769.30,668034
Power Grid Corporation of India Ltd., Power Generation/Distribution ,254.10,0.15 (0.06%),157.80,256.95,16031367
Bajaj Auto Ltd., Automobile - 2 & 3 Wheelers ,7566.40,17.60 (0.23%),3625.60,7660.00,266287
Mahindra and Mahindra Ltd., Automobile - Auto & Truck Manufacturers ,1620.35,-19.65 (-1.20%),1123.40,1758.00,2569098
Indian Oil Corporation Ltd., Refineries ,147.70,1.00 (0.68%),75.75,152.20,41378967
JSW Steel Ltd., Iron & Steel ,812.00,0.30 (0.04%),649.05,895.75,1892910
DLF Ltd., Construction - Residential & Commercial Complexes ,786.90,19.55 (2.55%),336.50,815.75,10661351
Tata Steel Ltd., Iron & Steel ,134.70,-0.30 (-0.22%),101.55,141.25,35704185
LTIMindtree Ltd., IT Services & Consulting ,5352.80,-95.55 (-1.75%),4132.20,6442.00,830778
Siemens Ltd., Electric Equipment ,4143.55,-162.00 (-3.76%),2891.40,4335.00,488753
Grasim Industries Ltd., Diversified ,2126.15,21.65 (1.03%),1527.05,2175.00,852171
SBI Life Insurance Company Ltd., Life & Health Insurance ,1399.00,-19.40 (-1.37%),1054.00,1495.35,1464906
Pidilite Industries Ltd., Diversified chemicals ,2567.70,-1.60 (-0.06%),2250.05,2805.00,1167215
Tech Mahindra Ltd., IT Services & Consulting ,1317.85,3.50 (0.27%),981.05,1416.30,2293154
Hindalco Industries Ltd., Iron & Steel ,569.25,1.35 (0.24%),381.00,620.50,7968815
HDFC Life Insurance Company Ltd., Life & Health Insurance ,575.00,-3.55 (-0.61%),457.80,710.60,5895638
Britannia Industries Ltd., Consumer Food ,5091.75,-45.15 (-0.88%),4153.00,5386.05,146422
